numer_acc	fid_err_targ	num_res	total_run_time	min_primary_fid_err	num_primary_success	avg_primary_success_run_time	mean_iter_primary_success	std_iter_primary_success	num_secondary_success	mean_iter_secondary_success	std_iter_secondary_success	mean_primary_success_second_fid	std_primary_success_second_fid	termination
5.000000e-05	1.0000e-02	50	10:38:18.305222	6.550000000e-03	50	0:12:45.966104	36.920	19.316	50	36.920	19.316	5.862673543e-03	8.1297335e-04	Goal achieved
1.000000e-04	1.0000e-02	50	12:09:06.333660	6.200000000e-03	47	0:13:17.995457	38.064	16.976	49	40.265	19.794	5.568851535e-03	7.2949523e-04	Goal achieved;b'ABNORMAL_TERMINATION_IN_LNSRCH'
1.296875e-04	1.0000e-02	50	9:51:56.702663	7.918750000e-03	47	0:11:24.968485	36.872	15.082	47	36.872	15.082	5.668404318e-03	7.0351847e-04	Goal achieved;b'ABNORMAL_TERMINATION_IN_LNSRCH'
1.593750e-04	1.0000e-02	50	13:26:38.295720	6.543750000e-03	33	0:13:06.563336	43.515	20.550	37	47.324	22.673	5.616367806e-03	7.6797994e-04	Goal achieved;b'ABNORMAL_TERMINATION_IN_LNSRCH'
1.890625e-04	1.0000e-02	50	10:21:13.587720	6.340625000e-03	41	0:10:58.716267	35.049	8.299	42	36.476	12.279	5.929777494e-03	6.8097376e-04	Goal achieved;b'ABNORMAL_TERMINATION_IN_LNSRCH'
2.187500e-04	1.0000e-02	50	10:19:01.797517	6.468750000e-03	41	0:11:07.027647	34.634	9.737	41	34.634	9.737	5.784205906e-03	7.2226237e-04	Goal achieved;b'ABNORMAL_TERMINATION_IN_LNSRCH';function converged
2.484375e-04	1.0000e-02	50	11:01:48.300721	7.190625000e-03	38	0:11:31.624730	35.816	9.746	39	35.744	9.631	5.993250419e-03	6.0572369e-04	Goal achieved;b'ABNORMAL_TERMINATION_IN_LNSRCH'
2.781250e-04	1.0000e-02	50	10:12:57.953569	6.962500000e-03	38	0:10:43.076808	32.263	5.330	38	32.263	5.330	5.644183482e-03	7.6989893e-04	Goal achieved;b'ABNORMAL_TERMINATION_IN_LNSRCH'
3.078125e-04	1.0000e-02	50	11:09:53.730691	8.121875000e-03	34	0:11:10.991022	34.353	7.095	36	34.222	6.933	6.084988785e-03	6.6947611e-04	Goal achieved;b'ABNORMAL_TERMINATION_IN_LNSRCH'
3.375000e-04	1.0000e-02	50	10:21:53.491646	7.687500000e-03	36	0:10:37.777607	33.028	8.971	37	32.838	8.922	5.448611291e-03	7.4200440e-04	Goal achieved;b'ABNORMAL_TERMINATION_IN_LNSRCH'
3.968750e-04	1.0000e-02	50	10:15:20.896859	7.981250000e-03	37	0:10:54.507943	33.216	6.282	42	32.690	6.139	6.004464459e-03	7.0584436e-04	Goal achieved;b'ABNORMAL_TERMINATION_IN_LNSRCH'
4.265625e-04	1.0000e-02	50	10:03:05.035362	6.796875000e-03	38	0:10:32.341339	32.105	5.679	38	32.105	5.679	5.851688109e-03	8.3581108e-04	Goal achieved;b'ABNORMAL_TERMINATION_IN_LNSRCH'
4.562500e-04	1.0000e-02	50	10:31:12.732101	7.156250000e-03	34	0:10:49.980284	32.471	5.376	38	32.447	5.599	5.911063066e-03	7.8086856e-04	b'ABNORMAL_TERMINATION_IN_LNSRCH';Goal achieved
4.859375e-04	1.0000e-02	50	10:56:29.173521	7.418750000e-03	34	0:11:21.167745	34.588	5.766	38	34.053	5.712	5.923293765e-03	8.6415255e-04	Goal achieved;b'ABNORMAL_TERMINATION_IN_LNSRCH'
5.156250e-04	1.0000e-02	50	10:33:15.673837	5.859375000e-03	33	0:10:47.073681	33.545	7.037	40	33.050	6.667	6.013369908e-03	8.2831572e-04	Goal achieved;b'ABNORMAL_TERMINATION_IN_LNSRCH';function converged
5.750000e-04	1.0000e-02	50	11:06:48.045312	7.925000000e-03	30	0:10:53.342490	32.567	5.500	35	32.257	5.293	5.996706882e-03	8.9716097e-04	Goal achieved;b'ABNORMAL_TERMINATION_IN_LNSRCH'
6.343750e-04	1.0000e-02	50	11:08:57.836120	7.693750000e-03	32	0:11:19.763613	34.531	7.890	37	34.378	7.930	5.919048577e-03	5.8836767e-04	Goal achieved;b'ABNORMAL_TERMINATION_IN_LNSRCH'
6.640625e-04	1.0000e-02	50	10:08:56.238112	8.164062500e-03	38	0:11:01.930680	33.500	6.202	42	33.381	5.984	5.745818785e-03	7.6214440e-04	Goal achieved;b'ABNORMAL_TERMINATION_IN_LNSRCH'
6.937500e-04	1.0000e-02	50	11:46:14.938754	6.693750000e-03	27	0:11:19.849237	33.370	6.487	37	32.027	6.796	5.669747789e-03	7.9127691e-04	Goal achieved;b'ABNORMAL_TERMINATION_IN_LNSRCH'
7.531250e-04	1.0000e-02	50	10:43:46.131761	6.631250000e-03	32	0:10:58.609389	33.281	6.686	41	32.512	6.236	5.769739099e-03	7.7216389e-04	b'ABNORMAL_TERMINATION_IN_LNSRCH';Goal achieved
8.125000e-04	1.0000e-02	50	11:14:46.084132	7.000000000e-03	31	0:11:32.230809	34.645	6.403	37	33.946	6.264	5.761490312e-03	8.3637301e-04	Goal achieved;b'ABNORMAL_TERMINATION_IN_LNSRCH'
8.421875e-04	1.0000e-02	50	12:36:21.375889	6.151562500e-03	26	0:12:23.804060	37.808	8.660	38	35.105	8.768	5.744627716e-03	7.1639068e-04	b'ABNORMAL_TERMINATION_IN_LNSRCH';Goal achieved
8.718750e-04	1.0000e-02	50	12:16:32.737304	6.731250000e-03	25	0:12:00.692608	34.800	5.831	38	32.211	6.925	6.152159287e-03	1.0521512e-03	Goal achieved;b'ABNORMAL_TERMINATION_IN_LNSRCH'
9.312500e-04	1.0000e-02	50	12:05:09.145465	5.543750000e-03	27	0:11:55.928835	35.296	5.727	31	34.677	5.653	5.968546002e-03	8.6480958e-04	Goal achieved;b'ABNORMAL_TERMINATION_IN_LNSRCH';function converged
9.906250e-04	1.0000e-02	50	13:22:44.906682	8.700000000e-03	18	0:11:09.290708	32.667	5.840	34	32.471	6.381	5.723366684e-03	5.9433937e-04	b'ABNORMAL_TERMINATION_IN_LNSRCH';Goal achieved
