numer_acc	fid_err_targ	num_res	total_run_time	min_primary_fid_err	num_primary_success	avg_primary_success_run_time	mean_iter_primary_success	std_iter_primary_success	num_secondary_success	mean_iter_secondary_success	std_iter_secondary_success	mean_primary_success_second_fid	std_primary_success_second_fid	termination
1.584375e-03	1.0000e-02	50	0:01:30.746524	6.856250000e-03	12	0:00:00.864848	24.583	4.291	34	24.529	4.333	5.415463249e-03	5.9413709e-04	Goal achieved;b'ABNORMAL_TERMINATION_IN_LNSRCH'
1.643750e-03	1.0000e-02	50	0:01:16.465358	7.775000000e-03	19	0:00:00.839494	23.474	4.453	36	23.556	4.764	5.899777936e-03	4.0687928e-04	Goal achieved;b'ABNORMAL_TERMINATION_IN_LNSRCH'
1.703125e-03	1.0000e-02	50	0:01:18.457460	7.343750000e-03	18	0:00:00.807961	23.556	4.387	38	23.789	4.175	5.955081716e-03	4.7633799e-04	Goal achieved;b'ABNORMAL_TERMINATION_IN_LNSRCH'
1.762500e-03	1.0000e-02	50	0:01:47.731435	4.850000000e-03	15	0:00:01.054382	22.733	3.172	35	23.829	4.164	5.160294925e-03	1.1272788e-03	Goal achieved;b'ABNORMAL_TERMINATION_IN_LNSRCH'
1.821875e-03	1.0000e-02	50	0:01:27.825219	5.046875000e-03	8	0:00:00.775733	22.875	4.400	27	22.741	3.708	5.276481437e-03	7.9169679e-04	Goal achieved;b'ABNORMAL_TERMINATION_IN_LNSRCH'
1.881250e-03	1.0000e-02	50	0:01:31.758164	7.756250000e-03	10	0:00:00.820964	24.000	5.933	27	23.630	4.330	6.132650150e-03	6.0899540e-04	Goal achieved;b'ABNORMAL_TERMINATION_IN_LNSRCH'
1.940625e-03	1.0000e-02	50	0:01:24.366881	6.978125000e-03	11	0:00:00.797084	23.273	5.154	30	23.233	4.372	5.949587420e-03	5.6454748e-04	Goal achieved;b'ABNORMAL_TERMINATION_IN_LNSRCH'
2.000000e-03	1.0000e-02	50	0:02:06.113625	6.000000000e-03	6	0:00:01.497998	23.333	4.570	29	23.276	4.525	4.709135973e-03	3.1253768e-04	Goal achieved;b'ABNORMAL_TERMINATION_IN_LNSRCH'
2.031250e-03	1.0000e-02	50	0:01:54.992889	7.343750000e-03	16	0:00:01.175289	23.250	3.597	31	22.613	4.316	5.435838894e-03	8.6521024e-04	Goal achieved;b'ABNORMAL_TERMINATION_IN_LNSRCH'
2.062500e-03	1.0000e-02	50	0:02:27.885085	5.562500000e-03	19	0:00:01.611155	25.316	4.953	26	25.769	4.560	6.117165066e-03	8.0960485e-04	Goal achieved;b'ABNORMAL_TERMINATION_IN_LNSRCH'
2.125000e-03	1.0000e-02	50	0:01:46.975405	6.750000000e-03	16	0:00:01.421294	22.875	5.430	30	22.133	5.071	5.714004560e-03	8.3448080e-04	Goal achieved;b'ABNORMAL_TERMINATION_IN_LNSRCH'
2.156250e-03	1.0000e-02	50	0:01:30.116032	7.625000000e-03	13	0:00:00.808766	23.615	5.122	28	23.643	4.236	6.151681423e-03	8.5964336e-04	Goal achieved;b'ABNORMAL_TERMINATION_IN_LNSRCH'
2.187500e-03	1.0000e-02	50	0:01:29.129951	7.187500000e-03	10	0:00:00.760166	22.000	4.266	26	23.692	4.158	6.058119598e-03	1.0443645e-03	Goal achieved;b'ABNORMAL_TERMINATION_IN_LNSRCH'
