numer_acc	fid_err_targ	num_res	total_run_time	min_primary_fid_err	num_primary_success	avg_primary_success_run_time	mean_iter_primary_success	std_iter_primary_success	num_secondary_success	mean_iter_secondary_success	std_iter_secondary_success	mean_primary_success_second_fid	std_primary_success_second_fid	termination
3.000000e-04	3.0000e-02	50	1:23:53.874536	2.170000000e-02	50	0:01:40.677491	28.140	10.008	50	28.140	10.008	1.770117456e-02	2.0184231e-03	Goal achieved
4.781250e-04	3.0000e-02	50	0:45:06.453302	2.247812500e-02	47	0:00:52.909572	27.723	8.720	50	28.300	8.857	1.778339888e-02	2.3073866e-03	Goal achieved;b'ABNORMAL_TERMINATION_IN_LNSRCH'
6.562500e-04	3.0000e-02	50	0:44:37.072542	2.115625000e-02	46	0:00:51.374088	27.109	6.793	49	27.959	7.428	1.746309230e-02	2.0753865e-03	Goal achieved;b'ABNORMAL_TERMINATION_IN_LNSRCH'
8.343750e-04	3.0000e-02	50	0:50:02.490083	2.086562500e-02	42	0:00:55.567398	27.881	7.018	50	28.920	7.119	1.727393308e-02	2.0293759e-03	Goal achieved;b'ABNORMAL_TERMINATION_IN_LNSRCH'
1.012500e-03	3.0000e-02	50	0:44:57.479883	2.188750000e-02	42	0:00:49.976593	24.357	5.826	47	25.489	6.507	1.820212674e-02	2.0814301e-03	Goal achieved;b'ABNORMAL_TERMINATION_IN_LNSRCH'
1.190625e-03	3.0000e-02	50	0:49:21.420008	1.855000000e-02	42	0:00:56.580814	24.524	7.116	48	25.958	7.845	1.803787703e-02	2.2048391e-03	Goal achieved;b'ABNORMAL_TERMINATION_IN_LNSRCH'
1.368750e-03	3.0000e-02	50	0:47:43.522575	2.241250000e-02	40	0:00:53.126463	24.375	5.008	48	25.167	5.100	1.754273706e-02	1.6907023e-03	Goal achieved;b'ABNORMAL_TERMINATION_IN_LNSRCH'
1.546875e-03	3.0000e-02	50	0:57:39.458786	1.989062500e-02	31	0:01:02.792489	25.129	5.499	43	27.140	6.002	1.735539748e-02	2.2620730e-03	b'ABNORMAL_TERMINATION_IN_LNSRCH';Goal achieved
1.725000e-03	3.0000e-02	50	0:54:30.921561	2.215000000e-02	36	0:01:02.513493	25.694	5.562	43	26.605	5.767	1.813438417e-02	1.7194555e-03	b'ABNORMAL_TERMINATION_IN_LNSRCH';Goal achieved
1.903125e-03	3.0000e-02	50	0:57:30.324473	2.246875000e-02	32	0:01:03.107012	26.219	5.786	43	27.442	6.370	1.823753604e-02	2.3269729e-03	b'ABNORMAL_TERMINATION_IN_LNSRCH';Goal achieved
2.081250e-03	3.0000e-02	50	0:47:46.989671	2.273125000e-02	37	0:00:49.862875	24.405	4.907	44	25.114	4.987	1.791748745e-02	1.6697783e-03	Goal achieved;b'ABNORMAL_TERMINATION_IN_LNSRCH'
2.259375e-03	3.0000e-02	50	0:55:07.456228	2.124062500e-02	34	0:00:58.976381	25.294	6.378	40	26.050	6.225	1.726745140e-02	1.7390007e-03	Goal achieved;b'ABNORMAL_TERMINATION_IN_LNSRCH'
2.437500e-03	3.0000e-02	50	0:52:35.419419	2.200000000e-02	35	0:00:56.799408	25.914	7.583	39	26.538	7.486	1.857135840e-02	2.6343973e-03	Goal achieved;b'ABNORMAL_TERMINATION_IN_LNSRCH'
2.615625e-03	3.0000e-02	50	0:59:44.830940	2.163437500e-02	28	0:01:03.998150	24.571	5.414	36	25.389	5.366	1.768320374e-02	2.6295607e-03	b'ABNORMAL_TERMINATION_IN_LNSRCH';Goal achieved
2.793750e-03	3.0000e-02	50	0:53:36.728750	1.890625000e-02	29	0:00:52.730736	24.000	4.556	37	24.676	4.691	1.717116754e-02	2.0722298e-03	b'ABNORMAL_TERMINATION_IN_LNSRCH';Goal achieved
2.971875e-03	3.0000e-02	50	0:54:33.211249	2.065937500e-02	27	0:00:47.066091	23.037	5.744	30	22.967	5.648	1.715179620e-02	1.7678489e-03	Goal achieved;b'ABNORMAL_TERMINATION_IN_LNSRCH'
3.150000e-03	3.0000e-02	50	2:33:27.260212	1.525000000e-02	23	0:02:27.639102	25.217	5.356	32	25.562	5.431	1.675914322e-02	2.4745162e-03	b'ABNORMAL_TERMINATION_IN_LNSRCH';Goal achieved
3.328125e-03	3.0000e-02	50	0:56:55.397606	2.289062500e-02	29	0:01:00.836490	23.172	4.411	34	23.000	4.446	1.822794597e-02	2.1343550e-03	b'ABNORMAL_TERMINATION_IN_LNSRCH';Goal achieved
3.506250e-03	3.0000e-02	50	0:58:37.187261	2.040625000e-02	25	0:00:56.091467	24.240	6.420	34	24.618	6.669	1.803302513e-02	2.3554300e-03	b'ABNORMAL_TERMINATION_IN_LNSRCH';Goal achieved
3.684375e-03	3.0000e-02	50	1:06:45.900673	2.087500000e-02	19	0:01:02.450534	22.053	4.968	27	22.852	4.828	1.681227668e-02	1.4286405e-03	b'ABNORMAL_TERMINATION_IN_LNSRCH';Goal achieved
3.862500e-03	3.0000e-02	50	0:56:40.944410	2.162500000e-02	27	0:00:55.057584	23.519	5.852	31	23.774	5.534	2.019714859e-02	2.4743694e-03	Goal achieved;b'ABNORMAL_TERMINATION_IN_LNSRCH'
